date,mean,Ward_No
7/11/2018,0.137634901,48
7/11/2018,0.19955748199999998,47
7/11/2018,0.19510802300000002,46
7/11/2018,-0.002258744,45
7/11/2018,0.027421801000000003,44
7/11/2018,0.03066057,43
7/11/2018,0.03090088,42
7/11/2018,-0.061532284000000007,41
7/11/2018,-0.047316772,40
7/11/2018,0.030644175,39
7/11/2018,0.0244382,38
7/11/2018,-0.033730986,37
7/11/2018,-0.070529038,36
7/11/2018,-0.071239652,35
7/11/2018,-0.007752027,34
7/11/2018,-0.29623927,33
7/11/2018,-0.28556348,32
7/11/2018,-0.178283912,31
7/11/2018,-0.070639699,30
7/11/2018,-0.073012509,29
7/11/2018,-0.045314942000000004,28
7/11/2018,-0.022907813,27
7/11/2018,-0.072721332,26
7/11/2018,-0.020033193,25
7/11/2018,-0.18998144,24
7/11/2018,-0.43453729,23
7/11/2018,-0.46917452,22
7/11/2018,-0.29420896,21
7/11/2018,-0.297367341,20
7/11/2018,-0.387140813,19
7/11/2018,-0.345148956,18
7/11/2018,-0.727515177,17
7/11/2018,-0.662152339,16
7/11/2018,-0.639430336,15
7/11/2018,-0.7015547390000001,14
7/11/2018,-0.656082036,13
7/11/2018,-0.270134944,12
7/11/2018,-0.455925233,11
7/11/2018,-0.788971616,10
7/11/2018,-0.7952479159999999,9
7/11/2018,-0.35605704899999996,8
7/11/2018,-0.777780578,7
7/11/2018,-0.796449959,6
7/11/2018,-0.765536351,5
7/11/2018,-0.630595335,4
7/11/2018,-0.389724405,3
7/11/2018,-0.625863963,2
7/11/2018,-0.589353424,1
7/12/2018,-0.10117195300000001,48
7/12/2018,-0.262853343,47
7/12/2018,-0.24233951199999998,46
7/12/2018,-0.37065810299999996,45
7/12/2018,-0.425381488,44
7/12/2018,-0.260037739,43
7/12/2018,-0.37630381700000004,42
7/12/2018,-0.17218792600000002,41
7/12/2018,-0.734217365,40
7/12/2018,-0.691869355,39
7/12/2018,-0.7551759709999999,38
7/12/2018,-0.552341608,37
7/12/2018,-0.5544319910000001,36
7/12/2018,-0.351713375,35
7/12/2018,-0.25531619699999997,34
7/12/2018,-0.40127587600000003,33
7/12/2018,-0.33023858,32
7/12/2018,-0.369511686,31
7/12/2018,-0.441156796,30
7/12/2018,-0.689085921,29
7/12/2018,-0.715474725,28
7/12/2018,-0.7625655490000001,27
7/12/2018,-0.7677344420000001,26
7/12/2018,-0.741742425,25
7/12/2018,-0.8171380979999999,24
7/12/2018,-0.720721023,23
7/12/2018,-0.76305812,22
7/12/2018,-0.71461153,21
